	subsys	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
11	3-ketoacyl-CoA thiolase (EC 2.3.1.16)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	11	2638	2268	1023	1614	2046	817	1626	1455	1164	3507	6	1675	2929	4	834	1321	157	4588	814	6
12	3-oxoacyl-[ACP] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	12	0	31	0	41	0	66	1	1	0	14	581	0	0	0	10	1	3	0	22	0
13	3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	13	3	23	0	43	0	8	0	2	0	7	506	1	0	0	0	2	1	0	25	1
14	3-oxoacyl-[ACP] synthase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	14	0	0	0	0	0	0	1	0	0	0	501	0	0	0	0	0	0	0	17	0
15	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	15	40602	45046	44448	34529	46441	47340	51614	32824	28487	56991	40895	24579	86891	36332	24526	33850	20840	179072	29922	51745
16	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	16	546	1188	19	1039	63	562	360	678	239	1416	773	342	469	1347	1316	193	15	477	65	26
17	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	17	19333	26334	21422	18328	22735	23132	34093	17597	14090	27147	15537	11881	37269	13147	14237	19945	8550	78635	11726	17173
18	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	18	14146	14867	14071	12948	13775	13177	13980	9439	8663	18224	10105	8534	22847	8460	10392	14100	4036	51228	9011	10289
19	3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	19	134	9	92	157	229	434	277	70	367	0	220	46	310	0	9	0	7	884	149	0
20	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	20	4565	3381	3238	4004	2617	5908	2778	3145	1526	8224	1438	3141	7849	1617	2609	2883	1335	16665	2359	4516
21	4'-phosphopantetheinyl transferase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	21	7773	9958	9927	7135	8658	8576	11675	7251	7185	8700	8239	5649	21784	17429	3947	7908	6557	52448	10449	15013
22	4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	22	66	0	98	0	85	0	2	156	75	411	44	10	48	0	8	180	8	0	8	230
23	8-amino-7-oxononanoate synthase (EC 2.3.1.47)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Sphingolipid_biosynthesis	23	2813	5979	330	4087	1516	1933	925	3231	1052	5842	1738	3165	1408	2005	5227	2763	485	8168	323	141
24	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	24	3817	5128	4243	4246	4597	3093	5156	3952	2683	6222	2102	3304	6285	1711	3934	2819	732	14393	2202	2195
25	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	25	19471	21720	22948	12515	26296	23252	30466	12759	15173	17912	22800	9295	41958	17592	7226	17877	10515	71530	16078	26259
26	Acyclic terpenes utilization regulator AtuR, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	26	276	191	739	90	1129	726	621	362	548	883	1006	547	1141	1301	217	1514	238	1753	955	1727
27	Acyl carrier protein (ACP1)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	27	35	140	6	319	9	6	24	90	35	0	354	123	32	0	203	159	0	0	26	0
28	Acyl carrier protein (ACP2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	28	1	1	1	1	1	7	4	4	1	1	471	1	1	1	1	1	22	1	36	1
29	Acyl carrier protein phosphodiesterase (EC 3.1.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	29	384	1299	104	1308	76	148	63	310	72	189	527	60	137	904	1080	35	5	209	50	2
30	Acyl carrier protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	30	22008	24356	24746	21320	25629	26000	31678	17806	21182	35297	17033	14483	56994	16171	14512	19632	13639	123569	17794	22649
31	Acyl-CoA thioesterase II (EC 3.1.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II	31	388	45	285	0	120	117	1	243	4	1207	636	27	0	959	44	443	1	221	429	1944
32	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	32	9794	12427	12181	9331	12556	12837	14768	8612	9759	14799	12587	6373	23169	10803	5903	9140	5681	53255	10401	16313
33	Biotin carboxyl carrier protein of acetyl-CoA carboxylase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	33	6101	8672	10127	8097	10569	7995	9374	6832	9341	10171	12623	5929	20283	11750	7748	3280	7501	41220	6368	15575
34	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	34	8775	10344	12046	9375	12443	9092	13784	7955	10775	12205	16125	6354	22214	15437	8695	4596	8139	42605	8910	23455
35	Cardiolipin synthetase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	35	26480	28007	28048	25931	29751	35122	37644	17884	31547	41402	33975	21898	70042	36169	18600	22867	25944	152657	36921	44362
36	Carnitine operon protein CaiE|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	36	0	9	6	0	2	41	0	0	12	0	552	0	0	1149	3	0	0	178	35	2
37	Carnitine racemase (EC 5.-.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	37	0	3	14	0	0	32	0	0	1	0	433	0	0	965	0	1	0	114	31	4
38	Carotenoid cis-trans isomerase (EC 5.2.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	38	0	5	0	0	1	0	0	2	3	4	1	0	1	0	1	1	0	5	0	0
39	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	39	0	0	8	0	0	165	1	0	2	0	386	0	0	990	4	33	0	197	44	0
40	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	40	5699	6035	7066	4577	6133	8142	7518	4150	4799	7249	5963	2354	16004	6832	2639	4909	4059	26754	4675	9591
41	Citronellol and citronellal dehydrogenase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
42	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	42	0	2	4	0	1	38	0	0	1	0	414	0	0	689	0	0	0	124	21	1
43	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	43	11	36	27	53	178	78	126	4	7	12	1513	7	24	1969	0	3	27	742	93	398
44	Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	44	78	486	19	38	138	90	145	76	96	176	866	244	184	1086	126	22	35	576	69	309
45	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	45	508	655	474	637	717	454	813	418	1274	827	3293	241	1895	7014	159	86	1596	10360	434	8600
46	D-beta-hydroxybutyrate permease|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	46	272	739	582	535	459	255	1174	266	541	452	1121	174	4539	3203	117	731	306	3976	475	1642
47	Diacylglycerol kinase (EC 2.7.1.107)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	47	4991	3781	5295	2471	3644	6235	3563	3430	2838	5336	5634	2223	10016	2379	2648	1836	1329	27280	3219	3768
48	Digeranylgeranylglycerophospholipid reductase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids	48	125	64	425	186	520	337	78	231	44	839	134	140	435	9	251	10	28	608	906	7
49	Electron transfer flavoprotein, alpha subunit FixB|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	49	0	2	5	0	104	22	0	0	0	0	527	1	0	378	0	0	1	55	15	1
50	Electron transfer flavoprotein, beta subunit FixA|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	50	1	2	5	0	0	28	1	0	0	0	363	0	0	392	0	0	0	58	16	0
51	Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	51	23803	18421	25892	19808	20554	23864	23625	17038	15202	28927	18882	12287	46436	15721	12062	11445	8655	100474	15976	25111
52	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	52	1715	3272	210	3181	1744	2039	665	1235	505	3864	678	2792	762	969	2314	2408	634	7102	308	140
53	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	53	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
54	Fatty acid degradation regulator YsiA, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	54	6	2	1	4	13	10	32	0	1	26	17	0	27	0	4	0	0	0	3	0
55	FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	55	0	0	0	0	0	45	0	2	0	0	478	0	0	0	7	0	2	0	28	0
56	FIG017861: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	56	0	0	0	0	0	11	2	0	3	0	535	0	0	0	0	0	0	0	6	0
57	FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	57	637	1384	13	506	43	207	248	844	411	1824	619	401	629	178	1123	55	20	539	56	14
58	FIG021862: membrane protein, exporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	58	467	849	11	312	23	169	162	553	237	1205	761	247	452	122	658	36	9	274	74	13
59	FIG027190: Putative transmembrane protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	59	362	870	4	677	26	310	264	469	227	1495	693	245	305	255	1140	50	13	269	43	13
60	FIG035331: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	60	3	12	0	25	0	0	0	3	0	11	384	2	0	0	8	3	5	0	21	0
61	FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	61	0	22	0	40	1	164	1	1	0	12	649	2	0	1	6	3	7	0	24	0
62	FIG143263: Glycosyl transferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	62	0	15	0	25	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	1
63	FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	63	0	0	0	0	0	3	0	0	0	0	597	0	0	0	1	0	1	0	0	0
64	Geranyl-CoA carboxylase carboxyl transferase subunit|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	64	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
65	Geranylgeranyl reductase (EC 1.3.1.83)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	65	65	74	33	20	98	207	71	8	21	46	60	100	55	37	8	40	35	93	24	62
66	Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	66	1956	2110	337	2297	958	396	629	1074	1047	3315	824	877	1750	1371	1310	805	45	4289	403	371
67	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	67	10	8	18	61	2	492	11	83	9	43	712	5	0	1215	41	110	11	244	41	6
68	Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	68	554	973	184	384	185	381	372	184	2370	696	465	1009	784	3601	195	1944	682	70	2070	2
69	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	69	18143	19741	20454	13581	19410	17666	22139	11646	16019	24224	16070	10303	45166	16555	6887	17399	8762	77812	15335	21999
70	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	70	1	6	5	0	0	0	0	1	1	1	2	0	53	0	7	742	0	6482	1	1
71	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	71	4022	4871	3147	1689	5721	3690	3203	1694	2105	8115	4145	2098	3683	3443	1852	3893	1075	9086	2743	4254
72	Hydroxyneurosporene methyltransferase (EC 2.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	72	454	933	9	762	18	212	323	643	329	1323	280	313	394	124	736	34	8	314	42	28
73	Hydroxyneurosporene synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	73	0	0	0	2	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0
74	Intracellular PHB depolymerase (EC 3.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	74	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
75	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	75	7007	7440	8435	10842	10074	7504	10007	5127	11202	8747	16689	5034	20115	15549	5439	3124	8608	46060	8394	18982
76	Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis	76	100	187	624	621	595	249	272	168	479	379	593	725	157	155	1534	465	108	5981	662	178
77	L-carnitine/gamma-butyrobetaine antiporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	77	0	12	9	0	2	44	5	1	5	0	642	0	0	1162	5	1	10	169	28	7
78	Lipid carrier protein IgrF|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Cholesterol_catabolic_operon_in_Mycobacteria	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
79	Long-chain fatty acid transport protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	79	907	1048	85	1711	141	506	188	386	120	1767	790	147	329	1103	662	110	114	2618	170	25
80	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	80	26283	41880	25756	28669	30364	28361	38054	23236	16750	47466	13192	18145	58046	14146	21355	32720	14012	113044	16912	26320
81	Lycopene cyclase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	81	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	Lysophospholipase (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	82	2382	1749	1465	601	712	1337	1030	2821	403	2775	773	543	650	1594	2399	2043	126	11763	3468	6511
83	Lysophospholipase L2 (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	83	7140	4631	8568	3303	5672	7695	9523	4711	5967	8988	9150	2648	18276	8263	1776	3967	4674	27041	6308	11931
84	Lysophospholipid acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	84	418	858	13	796	47	203	283	527	207	1143	1107	251	286	273	898	46	7	306	72	20
85	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	85	16020	18424	18810	12593	18611	17686	23057	12359	12564	20303	14432	9997	33253	16603	8788	13418	7783	76394	14143	17969
86	Methoxyneurosporene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	86	10	17	18	11	14	13	19	7	10	1	0	23	51	1	2	13	48	0	27	0
87	Mevalonate kinase (EC 2.7.1.36)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis	87	48	174	423	319	432	181	177	119	267	320	471	551	156	141	1198	459	51	6068	413	169
88	Monoglyceride lipase (EC 3.1.1.23)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	88	9310	14903	11703	9236	18757	8972	18955	6982	12304	16553	13552	7393	27675	13467	4868	13577	8643	64368	12440	21644
89	Octaprenyl-diphosphate synthase (EC 2.5.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	89	13649	16507	15261	11613	15806	16022	16530	9871	9642	21886	11408	9604	23841	11163	8362	13187	6551	58434	9442	16478
90	omega-3 polyunsaturated fatty acid synthase subunit, PfaC|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Polyunsaturated_Fatty_Acids_synthesis	90	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
91	Phosphate:acyl-ACP acyltransferase PlsX|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	91	10570	11305	12647	8930	14453	12716	14043	7786	9797	14287	9747	6008	23329	8967	5811	8986	6276	50362	8655	14856
92	Phosphatidylglycerophosphatase A (EC 3.1.3.27)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	92	1021	1813	138	1946	129	594	223	595	161	1121	576	1043	302	1106	1891	789	19	3299	157	16
93	Phosphatidylserine decarboxylase (EC 4.1.1.65)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	93	6125	7081	8549	4936	8152	9835	7725	5181	6356	9003	5412	2492	18825	7099	3257	5736	5070	31254	5575	11430
94	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	94	211	51	26	293	24	143	30	124	42	230	985	97	14	1633	53	59	8	290	40	2
95	Phytoene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	95	2497	2363	1638	2579	2792	895	2248	1375	2893	3836	1448	1649	7883	3189	1712	1014	3034	12017	1281	4655
96	Phytoene dehydrogenase and related proteins|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	96	31	23	0	31	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
97	Phytoene desaturase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	97	41	18	104	94	254	38	118	90	26	499	401	29	28	48	31	184	33	460	46	731
98	Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	98	8	8	20	45	25	16	54	1	27	10	1	2	162	130	3	5	21	386	14	0
99	Phytoene synthase (EC 2.5.1.32)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	99	5	2	2	98	0	0	0	0	1	3	19	0	0	39	1	1	1	4	9	123
100	polyhydroxyalkanoate granule-associated protein PhaI|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	100	247	91	68	18	84	149	3	133	143	270	2717	17	77	2280	74	286	73	2610	344	3296
101	Polyhydroxyalkanoic acid synthase|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	101	0	0	1	0	0	14	0	0	0	0	395	0	7	49	0	0	25	0	0	0
102	Predicted transcriptional regulator for fatty acid degradation FadP, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	102	4	51	13	53	25	0	0	43	6	40	139	16	51	93	9	15	21	475	26	165
