subsys	length	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys
Transcriptional regulator of fatty acid biosynthesis FabT|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	451.397111913357	7778	7246	9522	6075	8957	8744	10270	5644	7036	10311	8710	5101	23203	5614	3852	5861	5032	38370	9639	13465	Transcriptional regulator of fatty acid biosynthesis FabT|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	628.652597402597	8343	9986	7231	8180	9244	9913	8784	7076	5509	14926	6299	6769	13379	4886	7003	5188	3287	34843	4317	6790	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
omega-3 polyunsaturated fatty acid synthase subunit, PfaC|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Polyunsaturated_Fatty_Acids_synthesis	2499	0	8	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	omega-3 polyunsaturated fatty acid synthase subunit, PfaC|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Polyunsaturated_Fatty_Acids_synthesis
Long-chain fatty acid transport protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	1365.38888888889	1359	1530	129	2510	211	759	276	575	180	2624	1191	218	497	1648	961	162	167	3966	255	38	Long-chain fatty acid transport protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	395.547826086957	1745	2060	1386	718	2479	1605	1363	731	917	3491	1811	903	1613	1491	779	1663	457	3988	1194	1851	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	981.24347826087	15225	15597	15372	13654	14806	14217	14756	10107	9364	19448	10952	9112	24820	9088	10843	14941	4257	55780	9731	11105	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Cardiolipin synthetase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	1394.84563758389	40511	41767	43558	38871	45457	53867	56481	27221	48471	62806	52343	33236	108163	55229	27586	34444	38899	236287	56676	68064	Cardiolipin synthetase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	1407.86377708978	13550	15570	18881	14185	19189	14075	20875	12222	16710	18688	25075	9734	34625	23792	13017	6987	12317	66561	13805	36322	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	1262.62898550725	26773	35549	30115	24870	31445	32114	46304	24245	19597	37278	21667	16323	52098	18172	19114	27195	11604	110176	16294	23851	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Monoglyceride lipase (EC 3.1.1.23)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	912.39175257732	9317	14538	11888	9056	18747	9001	18603	6951	12366	16425	13657	7340	27955	13451	4723	13377	8477	65170	12491	21722	Monoglyceride lipase (EC 3.1.1.23)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	831.144827586207	3480	4557	3926	3793	4185	2827	4610	3584	2456	5624	1930	2988	5783	1557	3477	2530	654	13275	2014	2007	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	905.638596491228	15913	17839	18966	12256	18463	17611	22461	12214	12534	19997	14436	9851	33341	16460	8463	13122	7577	76773	14096	17900	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	1109.83544303797	8529	8828	10423	12931	12247	9157	11946	6209	13695	10558	20458	6079	24716	18891	6419	3744	10269	56726	10252	23173	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	1606.27428571429	46305	71922	46062	49489	53426	50090	65750	40728	29638	82920	23404	31713	103226	24875	36473	56756	24193	201494	29896	46503	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
4'-phosphopantetheinyl transferase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	633.513333333333	5401	6745	7002	4858	6008	5974	7956	5013	5014	5994	5765	3894	15279	12087	2659	5410	4465	36871	7285	10462	4'-phosphopantetheinyl transferase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Lysophospholipase L2 (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	909.566666666667	7123	4503	8677	3229	5651	7696	9317	4676	5979	8891	9192	2621	18404	8228	1718	3896	4570	27293	6314	11937	Lysophospholipase L2 (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	903.794520547945	4525	3267	3258	3889	2591	5871	2701	3102	1519	8084	1435	3089	7854	1600	2507	2814	1297	16714	2346	4490	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	942.105882352941	2021	2125	354	2326	989	410	637	1104	1087	3397	857	899	1825	1414	1312	819	46	4484	418	384	Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Octaprenyl-diphosphate synthase (EC 2.5.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	914.029673590504	13683	16131	15530	11407	15826	16102	16252	9845	9708	21756	11517	9552	24126	11170	8127	13016	6436	59268	9498	16567	Octaprenyl-diphosphate synthase (EC 2.5.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	578.9375	244	804	67	814	48	94	39	196	46	119	337	38	88	573	665	22	3	134	32	1	Acyl carrier protein phosphodiesterase (EC 3.1.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	844.206896551724	195	46	24	266	22	133	27	114	39	211	918	89	13	1509	48	54	7	272	37	2	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism
Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis	1016.77272727273	111	203	706	679	663	278	297	186	536	419	666	802	177	172	1659	511	118	6748	741	199	Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis
D-beta-hydroxybutyrate permease|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	1343.4375	401	1062	870	773	676	376	1696	390	800	661	1664	254	6751	4710	167	1060	442	5928	703	2426	D-beta-hydroxybutyrate permease|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	1251.34082397004	26724	29059	31971	16830	36045	31992	41008	17423	20915	24376	31512	12656	58128	24099	9615	24157	14143	99326	22142	36144	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	444.74347826087	8850	9387	10128	6491	9456	8639	10591	5652	7848	11717	7894	4986	22239	8060	3257	8356	4189	38402	7506	10762	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis
Geranylgeranyl reductase (EC 1.3.1.83)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	1446.75	103	114	53	31	155	330	110	12	34	73	96	157	88	59	12	63	54	150	39	99	Geranylgeranyl reductase (EC 1.3.1.83)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis
Mevalonate kinase (EC 2.7.1.36)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis	888.338983050847	47	165	418	305	420	177	169	115	261	309	462	533	153	137	1132	440	49	5982	404	165	Mevalonate kinase (EC 2.7.1.36)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Isoprenoid_Biosynthesis
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	1210.18181818182	725	1537	25	1351	83	748	468	895	319	1864	1033	450	629	1785	1694	252	19	641	87	35	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
8-amino-7-oxononanoate synthase (EC 2.3.1.47)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Sphingolipid_biosynthesis	1151.07096774194	3551	7358	423	5056	1911	2447	1145	4058	1334	7313	2210	3964	1794	2527	6398	3435	600	10433	409	178	8-amino-7-oxononanoate synthase (EC 2.3.1.47)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Sphingolipid_biosynthesis
Electron transfer flavoprotein, beta subunit FixA|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	792.363636363636	1	2	4	0	0	24	1	0	0	0	318	0	0	340	0	0	0	51	14	0	Electron transfer flavoprotein, beta subunit FixA|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
Phytoene desaturase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1634.22222222222	74	32	189	165	454	69	208	161	46	887	723	52	50	85	54	325	58	834	83	1314	Phytoene desaturase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	735.142857142857	410	515	388	503	577	367	643	335	1032	661	2674	193	1542	5645	124	68	1261	8451	351	6954	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	639.825892857143	6873	8501	8677	6416	8800	9031	10164	6013	6878	10298	8895	4437	16412	7567	4016	6315	3907	37811	7324	11481	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Phosphate:acyl-ACP acyltransferase PlsX|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	1011.31683168317	11724	12224	14240	9706	16011	14140	15276	8592	10914	15714	10887	6611	26120	9927	6249	9814	6823	56518	9633	16526	Phosphate:acyl-ACP acyltransferase PlsX|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1230.8	0	29	0	53	2	222	1	1	0	16	882	3	0	1	8	4	9	0	32	0	FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	755.884615384615	4725	4877	5947	3718	5078	6767	6113	3423	3996	5959	4978	1936	13393	5653	2121	4007	3298	22441	3889	7974	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Diacylglycerol kinase (EC 2.7.1.107)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	410.142857142857	2245	1658	2418	1089	1637	2812	1572	1535	1282	2380	2552	992	4548	1068	1155	813	586	12416	1453	1700	Diacylglycerol kinase (EC 2.7.1.107)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	2368.16666666667	25	21	48	156	5	1282	27	215	23	112	1862	12	0	3149	104	282	27	641	106	16	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Biotin carboxyl carrier protein of acetyl-CoA carboxylase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	479.114832535885	3206	4442	5402	4169	5547	4212	4831	3572	4930	5300	6680	3091	10759	6163	3947	1697	3863	21915	3358	8208	Biotin carboxyl carrier protein of acetyl-CoA carboxylase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Polyhydroxyalkanoic acid synthase|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	1070.25	0	0	1	0	0	17	0	0	0	0	467	0	8	57	0	0	29	0	0	0	Polyhydroxyalkanoic acid synthase|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
Lysophospholipase (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism	1137.05555555556	2971	2126	1855	735	887	1672	1260	3500	505	3431	971	672	818	1984	2900	2509	154	14842	4340	8143	Lysophospholipase (EC 3.1.1.5)|||Fatty Acids, Lipids, and Isoprenoids|||Triacylglycerols|||Triacylglycerol_metabolism
Lysophospholipid acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	996.896551724138	457	914	14	853	51	222	304	573	227	1239	1219	272	316	298	952	49	8	338	79	22	Lysophospholipid acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	1113.33333333333	14	43	34	64	217	96	151	5	9	15	1860	8	29	2400	0	4	32	917	114	487	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
3-ketoacyl-CoA thiolase (EC 2.3.1.16)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	1128.22222222222	3265	2736	1285	1957	2528	1013	1973	1791	1447	4303	8	2056	3659	5	1001	1610	191	5744	1011	8	3-ketoacyl-CoA thiolase (EC 2.3.1.16)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
Hydroxyneurosporene methyltransferase (EC 2.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1075.23076923077	535	1073	11	880	21	251	373	755	390	1547	332	366	469	146	841	40	9	375	50	33	Hydroxyneurosporene methyltransferase (EC 2.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Zeaxanthin glucosyl transferase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1243	5	39	49	123	9	178	117	6	31	279	62	123	41	51	573	52	17	1356	33	40	Zeaxanthin glucosyl transferase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	541.066666666667	0	0	6	0	1	139	4	0	2	0	308	0	0	442	25	1	4	96	20	2	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1773	708	362	61	147	1286	330	598	123	189	965	20	819	184	0	79	386	5	466	222	0	"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
polyhydroxyalkanoate granule-associated protein PhaI|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	316.95	86	31	24	6	29	52	1	46	50	93	951	6	27	791	25	98	25	918	120	1149	polyhydroxyalkanoate granule-associated protein PhaI|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
Carnitine racemase (EC 5.-.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	844.5625	0	3	13	0	0	30	0	0	1	0	404	0	0	892	0	1	0	107	29	4	Carnitine racemase (EC 5.-.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	783.625	0	0	7	0	0	142	1	0	2	0	334	0	0	849	3	28	0	171	38	0	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
