	subsys4	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
73	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	73	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
74	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	74	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
75	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	75	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
76	2-dehydropantoate 2-reductase (EC 1.1.1.169)	76	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
77	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	77	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	4	1	1
78	2-deoxyglucose-6-phosphate hydrolase YniC	78	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
79	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC	79	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
80	2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	80	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
81	2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.-)	81	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
82	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	82	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
83	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase related protein	83	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
84	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	84	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
85	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase (EC 3.7.1.-)	85	10	8	1	1	1	23	1	1	1	1	127	1	3	0	1	1	1	1	1	5
86	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	86	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
87	2-hydroxychromene-2-carboxylate isomerase	87	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
88	2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)	88	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
89	2-hydroxypenta-2,4-dienoate hydratase (CmtF) (EC 4.2.1.-)	89	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
90	2-isopropylmalate synthase (EC 2.3.3.13)	90	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
91	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	91	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
92	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	92	10	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
93	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	93	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
94	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54)	94	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
95	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	95	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
96	2-keto-3-deoxy-L-fuconate dehydrogenase	96	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
97	2-keto-3-deoxygluconate permease (KDG permease)	97	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
98	2-keto-4-pentenoate hydratase (EC 4.2.1.-)	98	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
99	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	99	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
100	2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c	100	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
101	2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein	101	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
102	2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, gamma subunit	102	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
103	2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	103	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
104	2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	104	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
105	2-ketogluconate kinase (EC 2.7.1.13)	105	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
106	2-ketogluconate transporter	106	10	1	1	1	1	126	1	1	1	1	0	1	3	0	1	1	1	1	1	1
107	2-ketogluconate utilization repressor PtxS	107	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
108	2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	108	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
109	2-methyl-6-phytyl-1,4-benzoquinone cyclase	109	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
110	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase	110	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
111	2-methyl-6-solanyl-1,4-benzoquinone methyltransferase	111	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
112	2-methylaconitate racemase	112	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
113	2-methylcitrate dehydratase (EC 4.2.1.79)	113	10	7	2	1	1	0	0	1	2	1	1	1	0	1	0	1	0	0	1	2
114	2-Methylcitrate dehydratase AcnD	114	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
115	2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	115	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	7	1	1
116	2-methylcitrate synthase (EC 2.3.3.5)	116	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
117	2-methylisocitrate dehydratase (EC 4.2.1.99)	117	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
118	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	118	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
119	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	119	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	5
120	2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	120	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
121	2-Oxobutyrate oxidase, putative	121	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
122	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	122	10	1	1	1	1	241	1	1	1	1	152	1	3	153	15	1	31	25	52	1
123	2-oxoglutarate/malate translocator	123	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
124	2-phosphosulfolactate phosphatase (EC 3.1.3.71)	124	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
125	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	125	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
126	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	126	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
127	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	127	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
128	2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	128	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
129	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	129	10	8	9	28	1	1	13	1	106	13	0	41	3	0	1	16	1	1	26	1
130	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	130	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
131	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	131	10	8	1	18	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
132	2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	132	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
133	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [bacillibactin] siderophore	133	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
134	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore	134	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
135	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase(CmtB) (EC 1.1.1.100)	135	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
136	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase (EC 1.3.1.-)	136	10	1	1	1	1	1	1	1	17	7	0	1	3	0	1	1	1	1	1	1
137	2,3-dihydroxy-p-cumate-3,4-dioxygenase (CmtC)	137	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
138	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [bacillibactin] siderophore	138	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
139	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore	139	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
140	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore	140	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
141	2,3-dihydroxybiphenyl 1,2-dioxygenase	141	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
142	2,3-dihydroxyphenylpropionate 1,2-dioxygenase (EC 1.13.11.-)	142	10	1	1	1	1	6	1	1	1	1	226	1	3	0	1	1	1	4	1	1
143	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	143	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
144	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	144	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
145	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	145	10	8	1	1	1	1	1	1	1	1	0	1	3	5	1	1	1	1	1	1
146	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	146	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
147	2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)	147	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
148	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	148	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	1	1	1
149	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	149	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
150	2,4-diketo-3-deoxy-L-fuconate hydrolase	150	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
151	2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	151	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
152	2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	152	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
153	2'-5' RNA ligase	153	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
154	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	154	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
155	21 kDa hemolysin precursor	155	10	76	1	448	1	1	1	1	1	39	0	1	3	0	1	1	1	1	1	1
156	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	156	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
157	23S rRNA (Uracil-5-) -methyltransferase rumA (EC 2.1.1.-)	157	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
158	23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	158	10	1	1	1	1	1	1	1	1	1	507	1	3	7	1	1	1	1	1	1
159	2H phosphoesterase superfamily protein BC2899	159	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
160	2H phosphoesterase superfamily protein Bsu1186 (yjcG)	160	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
161	3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-)	161	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
162	3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	162	10	1	1	1	1	1	1	1	1	1	0	1	37	0	1	1	1	1	1	1
163	3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)	163	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
164	3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	164	10	0	0	0	0	2	0	0	0	1	2	0	3	1	0	0	0	13	1	6
165	3-dehydroquinate dehydratase I (EC 4.2.1.10)	165	10	1	1	1	1	1	1	1	17	1	0	1	3	0	1	1	1	1	1	1
166	3-dehydroquinate dehydratase II (EC 4.2.1.10)	166	10	1	1	1	1	1	1	1	1	1107	0	1	3	0	1	1	1	4	1	1
167	3-dehydroquinate synthase (EC 4.2.3.4)	167	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
168	3-dehydroshikimate dehydratase	168	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
169	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	169	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
170	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	170	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
171	3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)	171	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
172	3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	172	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
