	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, gamma subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketogluconate kinase (EC 2.7.1.13)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketogluconate transporter	10	1	1	1	1	126	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketogluconate utilization repressor PtxS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methyl-6-phytyl-1,4-benzoquinone cyclase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methyl-6-phytyl-1,4-benzoquinone methyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methyl-6-solanyl-1,4-benzoquinone methyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methylaconitate racemase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methylcitrate dehydratase (EC 4.2.1.79)	10	7	2	1	1	0	0	1	2	1	1	1	0	1	0	1	0	0	1	2
2-Methylcitrate dehydratase AcnD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	7	1	1
2-methylcitrate synthase (EC 2.3.3.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-methylisocitrate dehydratase (EC 4.2.1.99)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	5
2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Oxobutyrate oxidase, putative	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	10	1	1	1	1	241	1	1	1	1	152	1	3	153	15	1	31	25	52	1
2-oxoglutarate/malate translocator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-phosphosulfolactate phosphatase (EC 3.1.3.71)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	10	8	9	28	1	1	13	1	106	13	0	41	3	0	1	16	1	1	26	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	10	8	1	18	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [bacillibactin] siderophore	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase(CmtB) (EC 1.1.1.100)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase (EC 1.3.1.-)	10	1	1	1	1	1	1	1	17	7	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxy-p-cumate-3,4-dioxygenase (CmtC)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [bacillibactin] siderophore	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxybiphenyl 1,2-dioxygenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-dihydroxyphenylpropionate 1,2-dioxygenase (EC 1.13.11.-)	10	1	1	1	1	6	1	1	1	1	226	1	3	0	1	1	1	4	1	1
2,3-diketo-5-methylthiopentyl-1-phosphate enolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	10	8	1	1	1	1	1	1	1	1	0	1	3	5	1	1	1	1	1	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	1	1	1
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,4-diketo-3-deoxy-L-fuconate hydrolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2'-5' RNA ligase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
21 kDa hemolysin precursor	10	76	1	448	1	1	1	1	1	39	0	1	3	0	1	1	1	1	1	1
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
23S rRNA (Uracil-5-) -methyltransferase rumA (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	507	1	3	7	1	1	1	1	1	1
2H phosphoesterase superfamily protein BC2899	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2H phosphoesterase superfamily protein Bsu1186 (yjcG)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	10	1	1	1	1	1	1	1	1	1	0	1	37	0	1	1	1	1	1	1
3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	10	0	0	0	0	2	0	0	0	1	2	0	3	1	0	0	0	13	1	6
3-dehydroquinate dehydratase I (EC 4.2.1.10)	10	1	1	1	1	1	1	1	17	1	0	1	3	0	1	1	1	1	1	1
3-dehydroquinate dehydratase II (EC 4.2.1.10)	10	1	1	1	1	1	1	1	1	1107	0	1	3	0	1	1	1	4	1	1
3-dehydroquinate synthase (EC 4.2.3.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-dehydroshikimate dehydratase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	10	1	1	1	1	1	1	42	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyacyl-CoA dehydrogenase PaaC (EC 1.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)	10	1	1	1	1	1	1	1	1	1	103	1	3	0	1	1	1	1	9	1
